Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
3/31/2011,Minority Acquisition,"Laser Detect Systems, Ltd.","Entera Bio, Ltd.",1.20 ,D.N.A Biomedical Solutions (Laser Detect Systems) acquires 47% stake in Entera Bio from Oramed,
3/31/2011,Minority Acquisition,QIAGEN N.V.,Alacris Theranostics GmbH,,QIAGEN acquires minority stake in Alacris Theranostics,
3/31/2011,Majority Acquisition,Best Medical International Inc,MDS Nordion,,Best Medical International acquires MDS Nordion from Nordion,
3/31/2011,Majority Acquisition,LifeMark Health,"Health Impact, Inc.",,LifeMark Health acquires Health Impact,
3/31/2011,Majority Acquisition,LifeMark Health,Austin Rehabilitation Group,,LifeMark Health acquires Austin Rehabilitation Group,
3/31/2011,Asset Purchase,"Pace Analytical Services, Inc.","Northeast Technical Services, Inc. – Assets",,Pace Analytical Services acquires assets of Northeast Technical Services,
3/31/2011,Majority Acquisition,"Medicomp, Inc. - Management","Medicomp, Inc.",,United Therapeutics sells Medicomp,
9/30/2005,100% Acquisition,QIAGEN N.V.,"Shenzhen PG biotech Co., Ltd",14.50 ,QIAGEN acquires Shenzhen PG Biotech,
3/31/2011,"Minority Acquisition,None","Atlantis Investment Management, Ltd.|Ever Union Capital Limited",Biosensors International Group Limited,156.90 ,Biosensors International Group raises $156.93 million in equity offering,
3/31/2011,Asset Purchase,Laboratorio Elea S.A.C.I.F. y A.,Merck Quimica Argentina SAIC - Business Unit,,Laboratorio Elea acquires business unit of Merck Quimica Argentina,
3/31/2011,"Minority Acquisition,None","Deerfield International Limited|Deerfield Management Company|Deerfield Private Design Fund, L.P.|Deerfield Private Design International, L.P.|Deerfield Special Situations Fund International Limited|Deerfield Special Situations Fund, LP","Arena Pharmaceuticals, Inc.",35.50 ,Deerfield invests $35.5 million in Arena Pharmaceuticals,
3/31/2011,Exit,--,Warner Chilcott Public Limited Company (formerly Warner Chilcott Limited),343.70 ,Consortium of investors sell stake in Warner Chilcott through public offering,
3/31/2011,Minority Acquisition,"Cephalon International Holdings, Inc.",ChemGenex Pharmaceuticals Limited,40.60 ,Cephalon acquires 19.9% stake in ChemGenex Pharmaceuticals,
6/14/2005,100% Acquisition,The Providence Service Corporation,"Behavioral Health, Inc.",14.50 ,Providence Service acquires Behavioral Health,
3/31/2011,Minority Acquisition,"Elron Electronic Industries, Ltd.|RDC Rafael Development Corporation, Ltd.","Kyma Medical Technologies, Ltd.",5.00 ,Elron Electronic Industries acquires additional 38% stake in Kyma Medical Technologies,
2/23/2005,100% Acquisition,Encore Medical Corp.,"Osteoimplant Technology, Inc",14.50 ,Encore Medical announces completion of OTI acquisition,
3/31/2011,Majority Acquisition,"Alere, Inc. (formerly Inverness Medical Innovations, Inc.)",Bioeasy Diagnostica,,Alere acquires Bioeasy Diagnostica,
3/31/2011,Asset Purchase,"PerkinElmer, Inc.","ID Biological Systems, LLC - Assets",11.00 ,PerkinElmer acquires assets from ID Biological Systems,
3/31/2011,"DIRECT INVESTMENT,Minority Acquisition",Undisclosed Investors*,Nemaura Pharma Limited,1.90 ,Nemaura Pharma raises additional $1.924 million in private equity investment,
3/30/2011,Asset Purchase,"Tibet Changdu Huiheng Development Co., Ltd.","Shenzhen Jiancheng Investment Co., Ltd. - Medical Equipment and Operating Rights",8.30 ,Tibet Changdu Huiheng acquires medical accelerator systems and operating rights from Shenzhen Jiancheng Investment,
3/30/2011,Majority Acquisition,"Comprehensive Neuroscience, Inc.","Charles River Clinical Services Northwest, Inc.",,Comprehensive Clinical acquires Charles River Clinical Services,
3/30/2011,Asset Purchase,"HealthSport, Inc.","Supplemental Manufacturing and Ingredients, LLC - Operating Assets",,HealthSport to acquire operating assets of Supplemental Manufacturing and Ingredients (SMI Manufacturing),
3/30/2011,Asset Purchase,"Mortara Instrument, Inc","Tiba Medical, Inc. - Blood Pressure Assets",,Mortara Instrument acquires blood pressure assets of Tiba Medical,
3/30/2011,"Minority Acquisition,None",Biovest Comm.VA|Gimv|O.G.B.B. A. van Herk B.V.|Undisclosed Investors*,Devgen NV,37.80 ,Devgen raises $37.79 million in placement,
3/30/2011,Asset Purchase,"Dr. Reddy's Laboratories, Ltd.",GlaxoSmithKline plc - Oral Penicillin Facility and Product Portfolio – US,,Dr. Reddy's Laboratories acquires oral penicillin facility and product portfolio from GlaxoSmithKline,
3/29/2011,"Asset purchase,None",Frazier Healthcare,CareFusion Corporation - OnSite Services Instrument Management and Repair Business,,Frazier Healthcare acquires OnSite Services instrument management and repair business from CareFusion,
3/29/2011,"Minority Acquisition,None","Alta Growth Capital, Mexico Fund, L.P.","Aplicaciones Medicas Integrales, S.A. de C.V.",15.00 ,"Alta Growth Capital, Mexico Fund acquires minority stake in Aplicaciones Medicas Integrales (Medicus)",
3/29/2011,Majority Acquisition,Imperial Clinical Research Services,"D. Anderson &amp; Company, Inc.",,Imperial Clinical Research Services acquires D. Anderson & Company,
3/29/2011,"100% acquisition,Management Buy-out (MBO)","Inflexion Private Equity Partners LLP|Phlexglobal, Ltd. - Management Team","Phlexglobal, Ltd.",,Inflexion Private Equity backs management buyout of Phlexglobal,
3/28/2011,Majority Acquisition,Ecron Acunova GmbH,aCROnordic A/S,,Ecron Acunova acquires majority stake in aCROnordic,
3/28/2011,Asset Purchase,"Central Glass Co., Ltd.",Zeledyne LLC - assets,,Central Glass acquires certain assets of Zeledyne,
3/28/2011,"100% acquisition,Secondary Buy-out",GTCR Fund IX,"SteriGenics International, Inc.",,GTCR acquires SteriGenics International,
3/25/2011,Asset Purchase,"Biotectix, LLC","Chameleon BioSurfaces, Ltd. - Assets - UK",,Biotectix acquires assets of Chameleon BioSurfaces,
3/24/2011,Minority Acquisition,Rhodia SA,Phoenix Venture Partners LP,,Rhodia acquires equity stake in Phoenix Venture Partners,
3/24/2011,Asset Purchase,Orasolv Clinics AB,Team Englund AB - Assets,,Orasolv Clinics to acquire assets of Team Englund,
3/24/2011,Majority Acquisition,"PerkinElmer, Inc.","ArtusLabs, Inc.",,PerkinElmer acquires ArtusLabs,
3/24/2011,"Majority acquisition,Management Buy-out (MBO)","ACON Investments, LLC|Refac Optical Group - Management Team","Refac Optical Group|U.S. Vision, Inc.",,ACON Investments and management acquire majority stake in Refac Optical and U.S. Vision,
3/24/2011,Asset Purchase,Boehringer Ingelheim GmbH,"Amgen, Inc. - California Development and Manufacturing Facility - US",,Boehringer Ingelheim acquires manufacturing facility from Amgen,
3/23/2011,Majority Acquisition,"IPC Healthcare, Inc. (Formerly IPC The Hospitalist Company, Inc.)","Mid-Michigan Hospitalist Group, P.C.",,IPC The Hospitalist Company acquires Mid-Michigan Hospitalist Group,
3/23/2011,Majority Acquisition,Bayer CropScience AG,"Hornbeck Seed Company, Inc.",,Bayer CropScience to acquire Hornbeck Seed Company,
3/23/2011,Majority Acquisition,COMIFAR S.p.A.,Farcopa Distribuzione S.r.l.,,COMIFAR acquires 60% stake in Farcopa Distribuzione,
3/23/2011,Majority Acquisition,"Healthmed Services, Ltd.","Health Emergent Technologies, Inc.",,HealthMed Services acquires 91% stake in Health Emergent Technologies,
11/17/1999,100% Acquisition,"GelTex Pharmaceuticals, Inc.",SunPharm Corp,14.50 ,GelTex Pharmaceuticals completes acquisition of SunPharm valued at $14.5 million,
3/22/2011,Asset Purchase,"Concentra, Inc.","Cascade Occupational Medicine Physicians, Inc. - Five Medical Centers – Oregon",,Concentra acquires assets of Cascade Occupational Medicine Physicians,
3/22/2011,Asset Purchase,"FlexFix, LLC","NovaLign Orthopaedics, Inc. - Intellectual Property Assets",,FlexFix acquires intellectual property assets of NovaLign Orthopaedics,
3/22/2011,Majority Acquisition,Gerresheimer AG,"Vedat Tampas Hermeticas, Ltda.",,Gerresheimer acquires Vedat Tampas Hermeticas,
3/22/2011,Majority Acquisition,OrthoCyte Corp.,"Glycosan BioSystems, Inc.",,OrthoCyte acquires Glycosan BioSystems,
3/22/2011,Asset Purchase,Rachiotek LLC,"Applied Spine Technologies, Inc. - Assets",,Rachiotek acquires assets of Applied Spine Technologies,
3/22/2011,Majority Acquisition,Novartis AG,"Zhejiang Tianyuan Bio-Pharmaceutical Co., Ltd.",194.00 ,Novartis acquires 85% stake in Zhejiang Tianyuan Bio-Pharmaceutical,
3/21/2011,Asset Purchase,"MWI Veterinary Supply, Inc.",Nelson Laboratories Limited Partnership - Assets,7.00 ,MWI Veterinary Supply acquires assets of Nelson Laboratories,
3/21/2011,Asset Purchase,STRUBE,Maribo Seed Espana S.A.U.,,Strube acquires Maribo Seed Espana from Nordic Sugar,
3/21/2011,"Minority Acquisition,None",Undisclosed Investors*,"Synageva BioPharma Corp. (formerly AviGenics, Inc.)",25.00 ,Synageva BioPharma raises $25 million in equity financing,
3/21/2011,Minority Acquisition,"RepliCel Life Sciences Inc., (formerly Newcastle Resources Ltd.,)","TrichoScience Innovations, Inc.",2.10 ,Newcastle Resources acquires additional 20.3% stake in TrichoScience Innovations,
3/21/2011,"Minority Acquisition,None",Optimus Capital Partners,"Advaxis, Inc.",7.50 ,Advaxis secures $7.5 million financing commitment from Optimus Capital Partners,
3/18/2011,Majority Acquisition,"Naturalife Health, Ltd.",Savant Distribution Limited,,Naturalife Health acquires Savant Distribution,
2/12/1999,100% Acquisition,"Leukosite, Inc.","CytoMed, Inc.",14.50 ,LeukoSite completes acquisition of CytoMed,
3/18/2011,Asset Purchase,Valeant International (Barbados) SRL (formerly Biovail Laboratories International SRL),"Aspen Asia Pacific Pty, Ltd. - Prednisone, Prednisolone and Penicillin V Products|Aspen Pharmacare Holdings Limited - Prednisone, Prednisolone and Penicillin V Products",,Biovail Laboratories acquires certain products from Aspen Pharmacare and Aspen Asia Pacific,
3/18/2011,Asset Purchase,Aerocrine AB,FILT Lung- und Thoraxdiagnostic GmbH - FENO Measurement Assets - Germany,,Aerocrine acquires FENO assets from FILT Lungen & Thoraxdiagnostik,
3/18/2011,Majority Acquisition,Runfold Medical,"Zimed, Ltd.",,Runfold Medical acquires Zimed,
3/18/2011,Majority Acquisition,Bordeaux Acquisition Limited,"Deben UK, Ltd.",5.20 ,Bordeaux Acquisition acquires 51% stake in Deben UK,
3/18/2011,Majority Acquisition,"Aramark Healthcare Management Services, LLC",Masterplan,,Aramark Healthcare acquires Masterplan,
3/18/2011,Majority Acquisition,"Aramark Healthcare Management Services, LLC","ReMedPar, Inc",,Aramark Healthcare acquires ReMedPar,
10/8/1998,100% Acquisition,"BioMarin Pharmaceutical, Inc.","Glyko, Inc.",14.50 ,BioMarin Pharmaceutical acquires Glyko,
3/30/2009,100% Acquisition,Alapis Holding Industrial and Commercial S.A.,DILACO SA,14.60 ,Alapis Holding Industrial acquires 100% of DILACO,
3/18/2011,Majority Acquisition,"Drive Medical Design and Manufacturing (formerly Medical Depot, Inc.)",Welland Medical (Leicester),,Drive Medical Design and Manufacturing acquires Welland Medical,
8/3/2000,100% Acquisition,"PendoPharm, Inc.",Novopharm Quebec|Wampole Canada Inc.,14.60 ,Pharmex acquires Novopharm Quebec and Wampole Canada,
3/30/1998,100% Acquisition,"Charles River Laboratories International, Inc.",Tektagen Inc,14.60 ,Charles River Laboratories acquires Tektagen,
3/16/2011,"Majority acquisition,None",Odewald KMU Fund,Polytech Ophthalmologie GmbH,,Odewald KMU acquires majority stake in Polytech Ophthalmologie,
3/16/2011,--,--,"Haddad-Wylie Industries (HWI)|IVT Software, Inc.",,Haddad-Wylie Industries (HWI) to merge with IVT Software,
3/16/2011,Asset Purchase,"Keys Education and Care, Ltd.",Care UK Plc - Children's Residential Services Business,,Keys Education acquires children’s residential services business from Care UK,
12/13/2010,100% Acquisition,Optos plc,"Opto Global Pty., Ltd.",14.80 ,Optos acquires Opto Global,
3/15/2011,"Minority Acquisition,None","Shamrock Israel Growth Fund Advisors, Ltd.","Medison Pharma, Ltd.",8.00 ,Shamrock Israel Growth Fund invests $8 million in Medison Pharma,
3/15/2011,Majority Acquisition,"Biomedical Structures, LLC","Concordia Medical, LLC",,Biomedical Structures acquires Concordia Medical,
3/15/2011,Majority Acquisition,"PharmStar Pharmaceuticals, Inc. (formerly Big Star Media Group, Inc.)","PharmStar, Inc.",,PharmStar Pharmaceuticals to acquire 93.5% stake in PharmStar,
3/15/2011,Majority Acquisition,"Roche Holding, Ltd.","PVT Lab Systems, LLC",,Roche Holding acquires PVT Lab Systems,
3/15/2011,Majority Acquisition,Surya Healthcare Limited,"Medimart India Pvt., Ltd.",2.40 ,Surya Healthcare acquires Medimart India,
3/15/2011,Asset Purchase,Undisclosed Company*,PuriCore plc - Endoscopy Division,17.00 ,PuriCore to sell endoscopy division,
3/14/2011,Majority Acquisition,"Roche Holding, Ltd.",PVT Probenverteiltechnik GmbH,,Roche Holding acquires PVT Probenverteiltechnik,
3/14/2011,Majority Acquisition,SGS SA,"Agri-Food Laboratories, Inc.",,SGS acquires Agri-Food Laboratories,
3/14/2011,"100% acquisition,Management Buy-out (MBO)",Bridgepoint Development Capital,Compagnie Stephanoise de Sante SA,,Bridgepoint Development Capital acquires Compagnie Stephanoise de Sante,
3/14/2011,Asset Purchase,"NBTY Florida, Inc.","Vitarich Laboratories, Inc. - Assets",0.80 ,Argan sells assets of Vitarich Laboratories to NBTY Florida,
3/14/2011,Majority Acquisition,Arysta LifeScience Corporation,Devidayal (Sales) Limited,,Arysta LifeScience acquires majority stake in Devidayal (Sales),
3/14/2011,Asset Purchase,Pacgen Life Science Corporation (formerly Pacgen Biopharmaceuticals Corporation),CurieMed Corporation - Business and Operating Assets,,Pacgen Biopharmaceuticals to acquire assets of CurieMed,
3/11/2011,"Minority Acquisition,None",TRC Capital Corporation,"Gilead Sciences, Inc.",111.80 ,Gilead Sciences rejects offer from TRC Capital Corporation,
3/11/2011,Majority Acquisition,Edwards Lifesciences Corporation,"Embrella Cardiovascular, Inc.",43.00 ,Edwards Lifesciences acquires Embrella Cardiovascular,
3/11/2011,"Minority Acquisition,None",Ares Life Sciences,Stallergenes S.A.,,Ares Life Sciences further increases stake in Stallergenes to 73.18%,
3/16/2000,100% Acquisition,Andrx Corporation,"Valmed Pharmaceutical, Inc.",14.80 ,Andrx Corporation acquires Valmed Pharmaceutical,
3/10/2011,Majority Acquisition,"Valeant Pharmaceuticals International, Inc.",PharmaSwiss SA,518.40 ,Valeant Pharmaceuticals International acquires PharmaSwiss,
3/10/2011,Majority Acquisition,"CerMed International, Inc.",Viridis Bioscience,,CerMed International acquires Viridis Bioscience,
3/10/2011,Asset Purchase,"Lake Consumer Products, Inc.","Triton Consumer Products, Inc. - Assets",,Lake Consumer Products acquires assets of Triton Consumer Products,
3/10/2011,Majority Acquisition,"OptumHealth, Inc.","INSPIRIS, Inc.",,OptumHealth acquires INSPIRIS,
3/10/2011,"Majority acquisition,None",Advent International Corporation,"ISIDA-IVF, Ltd.",,Advent International acquires controlling stake in ISIDA,
3/10/2011,Majority Acquisition,"Infusystem Holdings, Inc.",Star Infusion and Compression Therapies LLC,,InfuSystem Holdings acquires Star Infusion and Compression Therapies,
3/10/2011,"Asset purchase,None","Numoda Capital Innovations, LLC","VitreoRetinal Technologies, Inc. – Assets",,Numoda Capital Innovations acquires assets of VitreoRetinal Technologies,
3/9/2011,Asset Purchase,"Chemat Technology, Inc.","DAC International, Inc. - Digital Surfacing Technology Business",,Chemat acquires digital surfacing technology business from DAC International,
3/9/2011,Majority Acquisition,"Novation Holdings, Inc. (formerly Allezoe Medical Holdings, Inc.)","Organ Transport Systems, Inc.",,Allezoe Medical acquires Organ Transport Systems,
3/9/2011,Majority Acquisition,Koninklijke Philips Electronics N.V.,Dameca a/s,,Royal Philips Electronics acquires Dameca,
3/9/2011,--,--,American College of Surgeons Oncology Group|Cancer and Leukemia Group B|North Central Cancer Treatment Group,,American College of Surgeons to merge with Cancer and Leukemia Group and North Central Cancer,
3/9/2011,Majority Acquisition,"Healthcare of Today, Inc.","Novation Holdings, Inc. (formerly Allezoe Medical Holdings, Inc.)",,Healthcare of Today acquires Allezoe Medical Holdings,
11/9/2009,100% Acquisition,"Luye Pharma Group, Ltd. (formerly Asiapharm Group, Ltd.)",Pacific Target Holdings Limited,14.90 ,Luye Pharma Group acquires 100% stake in Pacific Target Holdings,
3/9/2011,Minority Acquisition,Bega Cheese Limited,Tatura Milk Industries Limited,,Bega Cheese to acquire remaining 30% stake in Tatura Milk Industries,
3/8/2011,Majority Acquisition,"Veniti, Inc.",Teneo Medical Development,,Veniti acquires Teneo Medical Development,
3/8/2011,Majority Acquisition,"Allied Healthcare International, Inc.",ScotHomecare,4.10 ,Allied Healthcare International acquires ScotHomecare,
3/8/2011,Majority Acquisition,"QPS, L.L.C","Qualitix Clinical Research Co., Ltd.",,QPS acquires majority stake in Qualitix Clinical Research,
3/8/2011,"Minority Acquisition,None","BIOTECH Development Partners, LLC",Biomagnetics Diagnostics Corporation,0.30 ,BIOTECH Development Partners invests in Biomagnetics Diagnostics,
7/1/2007,100% Acquisition,Ypsomed AG (formerly Disetronic Injection Systems AG),Florian Muller Holding GmbH,14.90 ,Ypsomed acquires 100% of Florian Muller Holding,
3/8/2011,Majority Acquisition,Halma p.l.c.,Medicel AG,107.80 ,Halma acquires Medicel,
3/8/2011,Majority Acquisition,Johnson &amp; Johnson,Crucell N.V.,"2,300.00 ",Johnson & Johnson acquires Crucell,
3/7/2011,Majority Acquisition,Arysta LifeScience Corporation,FES Group,,Arysta LifeScience acquires majority stake in FES Group,
3/7/2011,Asset Purchase,"Apria Healthcare, Inc.","Praxair, Inc. - Homecare Business - US",,Apria Healthcare acquires homecare business of Praxair,
3/5/2011,Majority Acquisition,Ortin Laboratories Limited,"Vineet Laboratories Pvt., Ltd.",,Members of Ortin Laboratories approve acquisition of Vineet Laboratories,
3/4/2011,Asset Purchase,"Ecolab, Inc.","O.R. Solutions, Inc. - Assets",260.00 ,Ecolab acquires assets of O.R. Solutions,
3/4/2011,Asset Purchase,"Sparton BP Medical Denver, LLC","Byers Peak, Inc. - Assets",4.40 ,Sparton BP Medical Denver acquires assets of Byers Peak,
3/4/2011,Majority Acquisition,"Amgen, Inc.","BioVex, Inc.","1,000.00 ",Amgen acquires BioVex Group,
2/23/2011,100% Acquisition,Cremer S.A.,P. Simon S.A.,15.00 ,Cremer to acquire P. Simon,
3/4/2011,"100% acquisition,Institutional Buy-out (IBO)",Advent International Corporation,The Priory Group,"1,468.80 ",Advent International acquires Priory Group,
3/4/2011,Majority Acquisition,Instem Life Science Systems plc,"BioWisdom, Ltd.",2.40 ,Instem Life Science Systems acquires BioWisdom,
3/4/2011,Majority Acquisition,OneMed Group,BATIST Medical a.s.,,OneMed to acquire BATIST Medical,
3/3/2011,--,--,"Lakeland Radiologists, Ltd.|Virtual Radiologic Corporation - Affiliate",,Lakeland Radiologists to merge with affiliate of Virtual Radiologic,
10/26/2010,100% Acquisition,Agfa Healthcare,Insight Agents GmbH,15.00 ,Agfa HealthCare acquires Insight Agents,
3/3/2011,"100% acquisition,Secondary Buy-out",Graham Partners,"SP Industries, Inc.",,Graham Partners acquires SP Industries from Riverlake Partners,
3/3/2011,Minority Acquisition,"Grifols, S.A. (Formerly Probitas Pharma, S.A.)",Lateral-Medion,,Grifols acquires 49% stake in Lateral-Medion,
3/2/2011,Minority Acquisition,Undisclosed Acquirer,"iHear Medical, Inc.",,Investor group acquires equity stake in excess of 5% in iHear Medical,
3/2/2011,Asset Purchase,"Thermo Fisher Scientific, Inc. (Formerly Thermo Electron Corporation)","Becton, Dickinson and Company - Polystyrene Roller Bottle Product Line",,"Thermo Fisher Scientific to acquire assets from Becton, Dickinson and Company (BD)",
3/2/2011,Minority Acquisition,"Renhe Pharmacy Co., Ltd.",Jiangxi Yaodu Pharmaceutical limited,,Renhe Pharmacy to acquire Jiangxi Yaodu Pharmaceutical,
3/2/2011,Majority Acquisition,"Renhe Pharmacy Co., Ltd.",Jiangxi Yaodu Zhangshu Pharmaceutical Limited,,Renhe Pharmacy to acquire Jiangxi Yaodu Zhangshu Pharmaceutical,
7/22/2008,100% Acquisition,"Heilongjiang Weikang Biotechnology Group Co., Ltd.","Tianfang (Guizhou) Pharmaceutical Co., Ltd.",15.00 ,Heilongjiang Weikang Biotechnology Group acquires Tianfang (Guizhou) Pharmaceutical,
1/3/2006,100% Acquisition,"PainCare Holdings, Inc.","Pain Management ASC, LLC",15.00 ,PainCare Holdings completes Pain Management ASC acquisition,
3/2/2011,Majority Acquisition,Camden-Clark Memorial Hospital Corporation,St. Joseph's Hospital,,Camden-Clark Memorial acquires St. Joseph's Hospital from Signature Hospital,
3/1/2011,Majority Acquisition,Hach Company,Accurate Measurement NZ,,Hach Company acquires Accurate Measurement,
3/1/2011,--,--,"Celeste Contract Packaging, LLC|Integrated Pharmaceutical Packaging|PrePak Systems, Inc.|TestPak, Inc.",,"Celeste Contract Packaging merges with PrePak Systems, TestPak and Integrated Pharmaceutical Packaging",
3/1/2011,Majority Acquisition,"Shanghai Pharmaceuticals Holding, Co., Ltd.",Taizhou Pharmaceutical Co.,22.90 ,Shanghai Pharmaceuticals acquires Taizhou Pharmaceutical,
3/1/2011,Minority Acquisition,Human Stem Cell Institute OJSC,Cryonix,0.20 ,Human Stem Cell Institute acquires 50% stake in Cryonix,
3/1/2011,Minority Acquisition,"Paladin Labs, Inc.","Pharmaplan Pty., Ltd.",,Paladin Labs acquires additional 10% stake in Pharmaplan,
3/1/2011,Asset Purchase,LANXESS AG,Syngenta AG - Material Protection Business,,LANXESS to acquire material protection business of Syngenta,
3/1/2011,Asset Purchase,Halma p.l.c.,Wagtech International Limited - Water Technology Division,4.90 ,Halma acquires water technology division of Wagtech International,
12/22/2005,100% Acquisition,Meldex International Plc (formerly BioProgress Plc),Dexo S.A,15.00 ,BioProgress entered into an agreement to acquire Dexo,
3/1/2011,Majority Acquisition,"Agilent Technologies, Inc.","BIOCIUS Life Sciences, Inc.",,Agilent Technologies acquires BIOCIUS Life Sciences,
3/1/2011,Majority Acquisition,"Clinipace Worldwide (formerly Clinipace, Inc.)","Regulus Pharmaceutical Consulting, Inc.",,Clinipace Worldwide acquires Regulus Pharmaceutical Consulting,
3/1/2011,Asset Purchase,Evonik Industries AG,Boehringer Ingelheim Pharma GmbH &amp; Co. KG – Resomer Business,,Evonik Industries acquires Resomer business from Boehringer Ingelheim Pharma,
3/1/2011,Asset Purchase,International Chemical Investors Group,Genzyme Corporation - Pharmaceutical Intermediates Business,,International Chemical acquires pharmaceutical intermediates business of Genzyme,
3/1/2011,Asset Purchase,Aesica Pharmaceuticals Limited,"UCB S.A. - Manufacturing Site - Pianezza, Italy|UCB S.A. - Manufacturing Site – Monheim, Germany|UCB S.A. - Manufacturing Site – Zwickau, Germany",,Aesica Pharmaceuticals acquires manufacturing sites of UCB,
3/1/2011,Majority Acquisition,"Avantor Performance Materials Holdings S.A. (formerly Mallinckrodt Baker, Inc.)","Avantor Performance material India, Ltd. (formerly RFCL, Ltd.)",100.00 ,Avantor Performance Materials acquires RFCL from ICICI Venture,
2/10/2005,100% Acquisition,"PerkinElmer, Inc.",Elcos AG,15.00 ,PerkinElmer acquires Elcos AG,
2/28/2011,Asset Purchase,Oxford BioMedica plc,"RecipharmCobra Biologics, Ltd. - Manufacturing Facility - Oxford, UK",3.00 ,Oxford BioMedica acquires manufacturing facility from RecipharmCobra Biologics,
2/28/2011,"Minority Acquisition,None",Milestone Longcheng Limited,"China BCT Pharmacy Group, Inc.",30.00 ,Milestone Longcheng invests $30 million in China BCT Pharmacy Group,
2/28/2011,Exit,Euticals S.p.A.,Archimica Cooperatief U.A.,,TowerBrook Capital Partners sells Archimica Cooperatief to Euticals,
2/28/2011,Majority Acquisition,Euticals S.p.A.,Archimica Cooperatief U.A.,,Euticals acquires Archimica Cooperatief,
2/28/2011,--,--,AMATSI (formerly Crid Pharma)|AVOGADRO,,AMATSI to merge with AVOGADRO,
2/28/2011,Minority Acquisition,Nordic Bioscience A/S,Sanos Bioscience A/S,,Nordic Bioscience acquires stake in SANOS Bioscience,
2/28/2011,Asset Purchase,Clondalkin Group Holdings BV,"Catalent Pharma Solutions, Inc. - Printed Components Business",,Clondalkin Group to acquire printed components business of Catalent Pharma Solutions,
2/28/2011,Majority Acquisition,"Agilent Technologies, Inc.","Lab901, Ltd.",,Agilent Technologies acquires Lab901,
2/28/2011,Asset Purchase,Nihon Kohden Corporation,"Dainippon Sumitomo Pharma Co., Ltd. - Radarcirc Business",,Nihon Kohden to acquire Radarcirc(R) business of Dainippon Sumitomo Pharma,
10/5/2004,100% Acquisition,ZOLL Medical Corporation,Revivant Corporation,15.00 ,ZOLL exercising option to acquire Revivant Corporation,
2/28/2011,Majority Acquisition,Athena Pharmaceutiques SAS,Ethypharm S.A. - Subsidiary - India,,Athena Pharm acquires subsidiary of Ethypharm,
2/28/2011,Exit,"Medtronic, Inc.",Jolife AB,,InnKap 3 Partners sells Jolife to Medtronic (Physio-Control),
2/28/2011,"Majority acquisition,None","Prairie Capital, L.P.|Skyline Global Partners, LLC","Winning Laboratories, Inc.",,Skyline Global Partners and Prairie Capital acquires Winning Laboratories (Natutac),
2/28/2011,--,--,Cromi AS|Hofseth BioCare ASA,,Hofseth BioCare merges with Cromi,
2/28/2011,Minority Acquisition,"Cephalon, Inc.",Mesoblast Limited,109.10 ,Cephalon acquires additional 7.8% stake in Mesoblast,
2/28/2011,Minority Acquisition,"Bio-Rad Laboratories, Inc.",Distribuidora de Analitica para Medicina Iberica S.A.,3.40 ,Bio-Rad Laboratories acquires additional 39% stake in Distribuidora de Analitica para Medicina Iberica,
2/27/2011,"Minority Acquisition,None",Nordea Funds|Undisclosed Investors*,Recipharm AB,29.30 ,Recipharm raises $29.27 million in placement,
2/25/2011,"100% acquisition,Institutional Buy-out (IBO)",Vendis Capital,Pranarom International s.a.,,Vendis Capital acquires Pranarom International,
2/25/2011,Majority Acquisition,Golden Meditech Holdings Limited,"China Healthcare, Inc.",0.60 ,Golden Meditech to acquire 60% stake in China Healthcare,
2/25/2011,Minority Acquisition,Golden Meditech Holdings Limited,Qi Jie Yuan Medicine Holding (HK) Limited,11.00 ,Golden Meditech to acquire 31% stake in Qi Jie Yuan Medicine Holding,
2/25/2011,Asset Purchase,Golden Meditech Holdings Limited,Golden Meditech Company Limited - Chinese Herbal Medicine Business,11.50 ,Golden Meditech Company to acquire remaining stake in Chinese herbal medicine business,
2/21/2001,100% Acquisition,"Arena Pharmaceuticals, Inc.","Bunsen Rush Laboratories, Inc",15.00 ,Arena Pharmaceuticals announces completion of acquisition of Bunsen Rush Laboratories,
5/11/1999,100% Acquisition,Acambis plc,"OraVax, Inc.",15.00 ,Peptide Therapeutics Group completes acquisition of OraVax,
2/24/2011,Asset Purchase,"Cord Blood America, Inc.","Reproductive Genetics Institute, Inc. - Assets",0.10 ,Cord Blood America acquires assets from Reproductive Genetics Institute,
2/24/2011,Majority Acquisition,Rhinomed Limited,"Leading Edge Instruments, Ltd.",7.50 ,Helicon Group acquires 81% stake in Leading Edge Instruments,
3/22/1999,100% Acquisition,Technilab Pharma Inc.,AltiMed Pharmaceutical Company,15.00 ,Technilab Pharma announces closing of Altimed acquisition,
2/23/2011,Majority Acquisition,Providence Health &amp; Services,The Motion Picture and Television Fund,,Providence Health & Services to acquire Motion Picture & Television Fund,
4/7/2011,100% Acquisition,Rochester Medical Corporation,Laprolan BV,15.10 ,Rochester Medical acquires Laprolan from Fornix BioSciences,
2/23/2011,"Minority Acquisition,None","In-Q-Tel, Inc.","Biomatrica, Inc.",,Biomatrica secures strategic investment from In-Q-Tel,
2/29/2008,100% Acquisition,BIOTON S.A.,Tricel S.A.,15.20 ,Bioton acquires Tricel from Amestor,
